CONTRATO;Fecha_FI
CTO_TO_005878;3q/2019
CTO_TO_039042;4q/2011
CTO_TO_039042;1q/2012
CTO_TO_039053;1q/2016
CTO_TO_059039;1q/2016
CTO_TO_039077;2q/2016
CTO_TO_059039;2q/2016
CTO_TO_039077;3q/2016
CTO_TO_006420;1q/2017
CTO_TO_039151;3q/2017
CTO_TO_052130;2q/2018
CTO_TO_007819;2q/2018
CTO_TO_035700;4q/2018
CTO_TO_006339;4q/2019
CTO_TO_011449;1q/2011
CTO_TO_056440;1q/2011
CTO_TO_029811;2q/2011
CTO_TO_011465;2q/2011
CTO_TO_056504;4q/2011
CTO_TO_028830;4q/2011
CTO_TO_011413;1q/2014
CTO_TO_011465;4q/2014
CTO_TO_054934;2q/2015
CTO_TO_011465;2q/2015
CTO_TO_011382;4q/2015
CTO_TO_029855;1q/2016
CTO_TO_011476;2q/2016
CTO_TO_056547;3q/2016
CTO_TO_011435;4q/2016
CTO_TO_011472;4q/2016
CTO_TO_056440;2q/2017
CTO_TO_011326;2q/2017
CTO_TO_028819;3q/2017
CTO_TO_054931;3q/2018
CTO_TO_011429;3q/2018
CTO_TO_025461;1q/2011
CTO_TO_045507;4q/2011
CTO_TO_045988;4q/2011
CTO_TO_046030;1q/2012
CTO_TO_054493;4q/2013
CTO_TO_054541;2q/2015
CTO_TO_045915;4q/2015
CTO_TO_025492;2q/2016
CTO_TO_045838;3q/2016
CTO_TO_025497;2q/2017
CTO_TO_045855;3q/2017
CTO_TO_054516;1q/2018
CTO_TO_045567;3q/2018
CTO_TO_025475;1q/2019
CTO_TO_030068;1q/2011
CTO_TO_045398;1q/2011
CTO_TO_008885;4q/2011
CTO_TO_030064;4q/2014
CTO_TO_029895;1q/2015
CTO_TO_008908;4q/2015
CTO_TO_008885;4q/2015
CTO_TO_045385;2q/2016
CTO_TO_058992;2q/2017
CTO_TO_008932;3q/2017
CTO_TO_029957;3q/2017
CTO_TO_008945;3q/2017
CTO_TO_008827;3q/2019
CTO_TO_008856;4q/2019
CTO_TO_045437;4q/2019
CTO_TO_042258;2q/2011
CTO_TO_046296;3q/2011
CTO_TO_046155;1q/2012
CTO_TO_046147;2q/2012
CTO_TO_039894;1q/2014
CTO_TO_039862;3q/2014
CTO_TO_046163;2q/2015
CTO_TO_039689;2q/2015
CTO_TO_039767;2q/2015
CTO_TO_049527;3q/2015
CTO_TO_039863;4q/2015
CTO_TO_039834;3q/2016
CTO_TO_039831;3q/2018
CTO_TO_049550;3q/2018
CTO_TO_049549;2q/2019
CTO_TO_039861;3q/2019
CTO_TO_047817;1q/2011
CTO_TO_039880;1q/2011
CTO_TO_047837;4q/2011
CTO_TO_039641;1q/2015
CTO_TO_051070;3q/2015
CTO_TO_051017;3q/2016
CTO_TO_039626;1q/2017
CTO_TO_051010;1q/2017
CTO_TO_039626;2q/2017
CTO_TO_056580;2q/2017
CTO_TO_051018;2q/2017
CTO_TO_039634;3q/2018
CTO_TO_039880;2q/2019
CTO_TO_003529;3q/2019
CTO_TO_051039;4q/2019
CTO_TO_049926;3q/2014
CTO_TO_049986;1q/2015
CTO_TO_050077;3q/2015
CTO_TO_049929;4q/2015
CTO_TO_050975;1q/2016
CTO_TO_049938;1q/2016
CTO_TO_049929;2q/2016
CTO_TO_044315;4q/2016
CTO_TO_049861;1q/2017
CTO_TO_049929;1q/2017
CTO_TO_049929;2q/2017
CTO_TO_043878;3q/2017
CTO_TO_009125;3q/2017
CTO_TO_050990;3q/2018
CTO_TO_043938;3q/2019
CTO_TO_044305;4q/2019
CTO_TO_049837;4q/2019
CTO_TO_032951;1q/2011
CTO_TO_033012;3q/2011
CTO_TO_033851;1q/2012
CTO_TO_033761;1q/2012
CTO_TO_033846;4q/2014
CTO_TO_042958;4q/2014
CTO_TO_032422;1q/2015
CTO_TO_033531;1q/2015
CTO_TO_032757;2q/2015
CTO_TO_032540;2q/2015
CTO_TO_032752;2q/2015
CTO_TO_032752;3q/2015
CTO_TO_032552;1q/2016
CTO_TO_032422;1q/2016
CTO_TO_035185;1q/2016
CTO_TO_033854;2q/2016
CTO_TO_033363;3q/2016
CTO_TO_032750;4q/2016
CTO_TO_033586;3q/2017
CTO_TO_059013;3q/2017
CTO_TO_053517;3q/2019
CTO_TO_053527;3q/2019
CTO_TO_033539;4q/2019
CTO_TO_059101;1q/2011
CTO_TO_051785;2q/2011
CTO_TO_035454;3q/2013
CTO_TO_033479;1q/2015
CTO_TO_033486;1q/2015
CTO_TO_033173;1q/2015
