number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_patience_plateau,params_patience_validation,params_second_conv_outchann,params_split_size,params_weight_decay,state
103,0.0022199506871402263,40,0,120,90,12,0.0003401778048981706,5,0. 3,1,20,0.75,0.01575896700528861,COMPLETE
104,0.002128927526064217,40,0,120,90,12,0.00028845280646888703,5,0. 3,1,20,0.75,0.02351507919808429,COMPLETE
105,0.0020296643022447826,40,0,120,90,12,0.0006576054149573473,5,0. 3,1,20,0.75,0.014674153460142529,COMPLETE
106,0.0025328596122562884,40,0,120,120,12,0.0001750180951518956,3,1,1,20,0.75,0.01707201347907338,COMPLETE
107,0.0022642926778644323,40,0,120,60,12,0.0003881471267065169,5,0. 3,1,20,0.75,0.019207876239026575,COMPLETE
108,0.0022291885456070305,40,0,120,90,12,0.0002637160546765967,5,0. 3,1,20,0.75,0.025178078433417465,COMPLETE
109,0.0044013962460060915,30,0,120,90,12,0.0005718402196490439,1,0. 3,1,20,0.75,0.014296653425956578,COMPLETE
110,0.00421478427015245,40,0.1,210,30,12,0.0004373410535882888,3,0. 3,1,20,0.75,0.016443240109993675,COMPLETE
111,0.0014140688115730881,40,0,120,30,12,0.00024388840372634117,5,0. 3,3,20,0.75,0.012620452382995875,COMPLETE
112,0.0020915100583806636,40,0,120,0,12,0.0003164874324903822,5,0. 3,3,20,0.75,0.012691213084943484,COMPLETE
113,0.0015551091404631735,40,0,120,30,12,0.0005023391583254185,5,0. 3,3,20,0.75,0.011567061453838469,COMPLETE
114,0.005941901355981827,40,0,120,30,12,0.00012926923608284227,5,0. 3,3,20,0.75,0.010378000775696743,COMPLETE
115,0.0011897530872374772,40,0,120,30,12,0.000489357446280701,5,0. 3,3,20,0.75,0.011448021549099583,COMPLETE
116,0.0015724783530458807,40,0,120,30,12,0.0004991603638311226,5,0. 3,3,20,0.75,0.011581806080137228,COMPLETE
117,0.007051153341308236,20,0,120,30,12,0.0005069918744616109,5,0. 3,3,20,0.75,0.011323575895335856,COMPLETE
