number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_patience_plateau,params_patience_validation,params_second_conv_outchann,params_split_size,params_weight_decay,state
87,0.00035651049111038444,30,0,210,30,12,0.0009009997931006472,1,1,0,24,0.7999999999999999,0.014573042227248876,COMPLETE
88,6.544490655263265e-05,30,0,210,30,12,0.0008772469304414205,1,1,0,20,0.7,0.012150169333728974,COMPLETE
89,3.910148079739883e-05,40,0,180,30,12,0.0008651561710073478,1,1,0,20,0.7,0.010713824191616596,COMPLETE
90,0.00014204004837665708,40,0.1,180,30,12,0.0008681115808005526,1,1,0,20,0.7,0.011486670158712334,COMPLETE
91,0.0002459594397805631,40,0.1,180,30,12,0.0009793776977950219,1,1,0,20,0.7,0.01174787886882074,COMPLETE
92,4.792438703589141e-05,40,0.1,180,30,12,0.0008992549955584604,1,1,0,20,0.7,0.011672122539503029,COMPLETE
93,0.00020858706557191908,40,0.1,180,30,12,0.000900213694115015,1,1,0,20,0.7,0.011584913617948054,COMPLETE
94,3.2640789140714335e-05,40,0.1,180,30,12,0.0009847844927993025,1,1,0,20,0.7,0.011755162957029794,COMPLETE
95,2.3843693270464428e-05,40,0.1,180,30,12,0.0009984294714060016,1,1,0,20,0.7,0.011742483957793532,COMPLETE
96,0.0023787829093635084,40,0.1,180,30,12,0.000832006897415598,1,1,0,20,0.7,0.011498280551333515,COMPLETE
97,0.00044659043196588756,40,0.1,180,30,12,0.0009659945311979358,1,1,0,20,0.7,0.010387213918808685,COMPLETE
98,0.014110156893730163,50,0.1,180,30,12,0.0007557067243852374,1,1,0,20,0.7,0.012557161118842893,COMPLETE
99,0.0001132656296249479,40,0.1,180,30,12,0.0009926044385111328,1,1,0,20,0.7,0.011314750880561516,COMPLETE
100,6.059342849766836e-05,40,0.1,180,0,12,0.0008583652219957599,1,1,0,20,0.7,0.013120960716869372,COMPLETE
101,0.0004778269561938941,40,0.1,180,0,12,0.0008565253272305623,1,1,0,20,0.7,0.011112536210987246,COMPLETE
102,0.0018921955488622189,40,0.1,180,0,12,0.0006804433999485056,1,1,0,20,0.7,0.012839106496247255,COMPLETE
103,0.0007486461312510073,40,0.1,180,30,12,0.0007444089084976911,1,1,0,20,0.7,0.010074115029129692,COMPLETE
104,0.0003334559791255742,40,0.1,180,30,12,0.000897224047062714,1,1,0,20,0.7,0.013463127103471055,COMPLETE
105,0.00038777671288698913,40,0.1,180,30,12,0.000772149599620835,1,1,0,20,0.7,0.010783568596054454,COMPLETE
106,0.00013061546487733722,40,0.1,180,0,12,0.0009976962449573551,1,1,0,20,0.7,0.012073396099257292,COMPLETE
107,0.007617708295583725,40,0.1,180,0,12,0.000988040043163911,5,1,0,20,0.7,0.012207026875355272,COMPLETE
108,0.0001873840781627223,40,0.1,180,0,12,0.0006254118468279913,1,1,0,20,0.7,0.014323503441555294,COMPLETE
109,0.007041538879275322,40,0.1,180,0,12,0.000635542541474152,3,1,0,20,0.7,0.014248094552803507,COMPLETE
110,0.0001522567414212972,40,0.1,180,0,12,0.000799116543182469,1,1,0,20,0.7,0.013028317275102612,COMPLETE
111,0.00013115436886437237,40,0.1,180,0,12,0.0008071310381721625,1,1,0,20,0.7,0.013322351794778309,COMPLETE
112,4.758213530294597e-05,50,0.1,180,0,12,0.0008192764725273461,1,1,0,20,0.7,0.013107170841328427,COMPLETE
113,0.0009139583818614483,50,0.1,180,0,12,0.0008200462518527071,1,1,0,20,0.7,0.01322625754640282,COMPLETE
114,3.985911258496344e-05,50,0.1,180,0,12,0.0009974202761187426,1,1,0,20,0.7,0.015170610436230013,COMPLETE
115,0.0025503423810005186,50,0.1,180,0,12,0.0007260045652019795,1,1,0,20,0.7,0.015396960577855652,COMPLETE
116,0.00015871729934588074,50,0.1,180,0,12,0.0009964392922396973,1,1,0,20,0.7,0.01209318962366652,COMPLETE
117,0.0005373064614832402,50,0.1,180,0,12,0.0006885439433527206,1,1,0,20,0.7,0.011209421978081526,COMPLETE
118,0.00017563703877385706,40,0.1,180,30,12,0.0009020970133736106,1,1,0,20,0.7,0.01068386931983676,COMPLETE
119,0.00012791693210601808,50,0.1,180,30,12,0.0008846656030118849,1,1,0,20,0.7,0.014795358595361997,COMPLETE
120,0.0009534261748194695,50,0.1,180,0,12,0.0007029137724590002,1,1,0,20,0.7,0.015395828980657202,COMPLETE
121,0.0006419125944375992,50,0.1,180,30,12,0.0008844904681436723,1,1,0,20,0.7,0.011931117834957228,COMPLETE
122,0.0030890467762947084,50,0.1,180,30,12,0.0009997525469546886,1,1,0,20,0.7,0.013682076827443835,COMPLETE
123,0.0007156805251725018,40,0.1,180,30,12,0.0007930696743730195,1,1,0,20,0.7,0.01100732987523705,COMPLETE
124,0.004973209649324417,50,0.1,180,0,12,0.000870427629002345,1,1,0,20,0.7,0.010457795469423253,COMPLETE
125,8.139010897139088e-05,40,0.1,180,30,12,0.0006085332732162799,1,1,0,20,0.7,0.012474324466254265,COMPLETE
126,0.0002994730486534536,40,0.1,180,30,12,0.0006012092877345979,1,1,0,20,0.7,0.012502945232903835,COMPLETE
127,8.279072353616357e-05,50,0.1,180,0,12,0.0005016391709083256,1,1,0,20,0.7,0.014932511652195442,COMPLETE
128,0.009288227558135987,50,0.1,180,30,12,0.0005020855978780619,5,1,0,20,0.7,0.015103726903565966,COMPLETE
129,0.0018647147342562675,50,0.1,180,0,12,0.0006725547148001916,1,1,0,20,0.7,0.01637689573779908,COMPLETE
130,0.0009240501932799816,50,0.1,150,0,12,0.0007333409427493,1,1,0,20,0.7,0.01384820730308568,COMPLETE
131,0.0007795215118676424,40,0.1,180,0,12,0.0008168793367191895,1,1,0,20,0.7,0.012682838484401758,COMPLETE
132,0.00026363636716268956,40,0.1,180,30,12,0.0009201432062313119,1,1,0,20,0.7,0.012137903481116562,COMPLETE
133,0.0003524396754801273,50,0.1,180,0,12,0.0005788871257789122,1,1,0,20,0.7,0.01465230442064752,COMPLETE
134,0.011639453656971454,40,0.1,180,0,12,0.0007682678827353677,1,1,0,20,0.7,0.012993476920761415,COMPLETE
135,7.080644863890483e-05,40,0.1,180,30,12,0.0009991429495807194,1,1,0,20,0.7,0.013643475021165275,COMPLETE
136,0.0002095958637073636,50,0.1,180,30,12,0.0009884709722053331,1,1,0,20,0.7,0.014074351317979026,COMPLETE
137,0.0023785265162587165,40,0.1,180,30,12,0.0008822790215258216,1,1,0,20,0.7,0.011313262398550739,COMPLETE
138,0.0011320725316181779,40,0.1,180,30,12,0.0006390068085675418,1,1,0,20,0.7,0.015929608754483803,COMPLETE
139,0.0003208333277143538,40,0.1,180,30,12,0.0009987682241080706,1,1,0,20,0.7,0.010105904541005035,COMPLETE
140,0.0002952138427644968,50,0.1,180,30,12,0.0007251752977473505,1,1,0,20,0.7,0.011872003475983007,COMPLETE
141,0.00141473519615829,40,0.1,180,0,12,0.0008090377826236512,1,1,0,20,0.7,0.013259144876235172,COMPLETE
142,0.00010484714148333296,40,0.1,180,30,12,0.0009095489020455633,1,1,0,20,0.7,0.012448726193345562,COMPLETE
143,6.0587443658732806e-05,40,0.1,180,30,12,0.0009139602299444805,1,1,0,20,0.7,0.012485740468996878,COMPLETE
144,7.051200918795075e-05,40,0.1,180,30,12,0.0008684343228188122,1,1,0,20,0.7,0.01081729349519714,COMPLETE
