number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_patience_plateau,params_patience_validation,params_second_conv_outchann,params_split_size,params_weight_decay,state
114,0.0037778845522552728,40,0,210,60,10,0.0006654301226144678,1,1,2,24,0.7999999999999999,0.014033984001664878,COMPLETE
115,0.0016307944990694523,50,0,210,0,10,0.0009281059593171624,1,1,2,24,0.7999999999999999,0.021276125871984148,COMPLETE
116,0.0005714777546624342,30,0,210,90,10,0.0002578750386165828,1,1,3,24,0.7,0.012585511724070032,COMPLETE
117,0.0005915238366772731,30,0,150,30,10,0.0003848424328444449,1,1,2,24,0.7999999999999999,0.011235282872617222,COMPLETE
118,0.0009855407755821944,40,0,210,90,6,0.000501909887209407,1,1,2,20,0.75,0.01633212578850982,COMPLETE
119,0.0006616770755499601,30,0,120,0,8,6.9250763150278e-05,3,1,3,24,0.7999999999999999,0.011805178684687858,COMPLETE
120,0.003460537418723106,50,0,210,60,10,0.0007709779516287395,1,1,2,24,0.75,0.017583929870370964,COMPLETE
121,0.0009449372921759883,30,0,210,0,10,0.00042768102867069653,1,1,2,24,0.75,0.023813514766051293,COMPLETE
122,0.0007146695628762245,30,0,210,0,10,0.0006053926697448876,1,1,2,24,0.75,0.022914682292177118,COMPLETE
123,0.0016026382489750782,30,0,210,0,10,0.00045497096504863873,1,1,2,24,0.75,0.018711564977632475,COMPLETE
124,0.0007455106591805815,30,0,210,0,10,0.00031196278161860355,1,1,2,24,0.75,0.025518183587264175,COMPLETE
125,0.00046214322404315077,30,0,210,0,10,0.00016370273557411589,1,1,2,24,0.75,0.020366488546721948,COMPLETE
126,0.0005003502670054634,30,0,210,0,6,0.00041165669843425264,1,1,2,24,0.7999999999999999,0.010533335583604543,COMPLETE
127,0.0018596327708413204,30,0.1,210,30,10,0.0003713574266508244,1,1,2,24,0.75,0.0703132235996873,COMPLETE
128,0.00021245068773945164,40,0,210,90,10,0.0002772000180739755,1,1,2,24,0.7999999999999999,0.014451113609168412,COMPLETE
129,0.0007748535601422191,40,0,210,90,10,0.00013060960824610418,1,1,2,20,0.7999999999999999,0.014441388877521158,COMPLETE
130,0.0054595982655882835,40,0,210,90,12,0.0002631695877893945,1,1,2,24,0.7999999999999999,0.015202703442332077,COMPLETE
131,0.0025213489308953283,40,0,210,90,10,0.0005411413256291981,1,1,2,24,0.7999999999999999,0.013196642071242725,COMPLETE
132,0.0038651405833661557,40,0,210,90,10,0.0002831328996333172,1,1,2,24,0.7999999999999999,0.021676341948024196,COMPLETE
133,0.0035690078511834145,30,0,210,90,10,0.00020897387044689156,1,1,2,24,0.7999999999999999,0.012513717774336592,COMPLETE
134,0.0009976086206734181,40,0,210,0,10,0.00048141568302802814,1,1,2,24,0.7999999999999999,0.016024537295245795,COMPLETE
135,0.0015438534008959928,30,0,120,120,10,0.0003374883017306328,1,1,2,24,0.7999999999999999,0.011166125466344098,COMPLETE
136,0.0021444317419081925,40,0,150,90,10,0.000681886989701372,1,0. 3,3,24,0.7999999999999999,0.019874411567860614,COMPLETE
137,0.00041033014616308113,30,0,210,0,10,0.00023013970679119477,1,1,2,24,0.75,0.02670401302356449,COMPLETE
