timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
72586491909,11445,5,0,0.0000000000,-0.0088888889,-0.0155555556,-6.1250000000,29.0625000000,25.3750000000,-2.2400000000,-3.9100000000,-8.1800000000
72586523002,11446,5,0,-0.0044444444,0.0077777778,-0.0288888889,-5.6875000000,29.0625000000,25.3750000000,-2.2500000000,-3.9200000000,-8.1600000000
72586603131,11447,5,0,-0.0077777778,0.0144444444,-0.0144444444,-5.6875000000,29.0625000000,25.3750000000,-2.2300000000,-3.8800000000,-8.2900000000
72586607922,11448,5,0,-0.0077777778,0.0000000000,-0.0133333333,-5.6875000000,29.0625000000,25.3750000000,-2.3100000000,-3.9600000000,-8.2700000000
72586618088,11449,5,0,-0.0177777778,-0.0088888889,-0.0011111111,-6.1250000000,29.0625000000,24.6250000000,-2.2700000000,-3.9900000000,-8.2200000000
72586651780,11450,5,0,-0.0100000000,-0.0033333333,0.0077777778,-6.1250000000,29.0625000000,24.6250000000,-2.2000000000,-3.9400000000,-8.1800000000
72586679306,11451,5,0,-0.0022222222,0.0044444444,0.0055555556,-6.1250000000,29.0625000000,24.6250000000,-2.3200000000,-3.9400000000,-8.2000000000
72586713067,11452,5,0,-0.0011111111,0.0044444444,0.0100000000,-5.3125000000,29.4375000000,25.3750000000,-2.2400000000,-3.9400000000,-8.2000000000
72586734831,11453,5,0,0.0000000000,0.0100000000,0.0100000000,-5.3125000000,29.4375000000,25.3750000000,-2.2500000000,-3.9600000000,-8.1700000000
72586765332,11454,5,0,-0.0011111111,0.0277777778,0.0222222222,-5.3125000000,29.4375000000,25.3750000000,-2.3500000000,-3.9700000000,-8.1400000000
72586796610,11455,5,0,-0.0044444444,0.0344444444,0.0255555556,-6.1250000000,30.1250000000,25.7500000000,-2.3000000000,-3.9400000000,-8.1700000000
72586848032,11456,5,0,-0.0022222222,0.0144444444,0.0266666667,-6.1250000000,30.1250000000,25.7500000000,-2.3200000000,-4.0000000000,-8.2300000000
72586869341,11457,5,0,-0.0055555556,0.0011111111,0.0244444444,-6.1250000000,30.1250000000,25.7500000000,-2.2900000000,-3.9500000000,-8.2300000000
72586950601,11458,5,0,-0.0144444444,0.0000000000,0.0244444444,-6.1250000000,30.1250000000,25.0000000000,-2.3400000000,-4.0400000000,-8.2000000000
72586956785,11459,5,0,-0.0111111111,-0.0022222222,0.0322222222,-6.1250000000,30.1250000000,25.0000000000,-2.2300000000,-3.9600000000,-8.2700000000
72586976932,11460,5,0,-0.0055555556,-0.0133333333,0.0144444444,-6.1250000000,30.1250000000,25.0000000000,-2.2400000000,-3.9900000000,-8.0900000000
72586994404,11461,5,0,-0.0022222222,0.0000000000,0.0044444444,-5.3125000000,30.1250000000,24.2500000000,-2.2700000000,-3.9700000000,-8.1600000000
72587029462,11462,5,0,0.0033333333,-0.0100000000,-0.0044444444,-5.3125000000,30.1250000000,24.2500000000,-2.2300000000,-3.9300000000,-8.2300000000
72587049310,11463,5,0,0.0066666667,-0.0200000000,-0.0122222222,-5.3125000000,30.1250000000,24.2500000000,-2.2500000000,-3.9400000000,-8.1600000000
72587081814,11464,5,0,-0.0011111111,-0.0200000000,-0.0322222222,-5.3125000000,30.1250000000,24.2500000000,-2.3600000000,-4.1000000000,-8.1400000000
72587114235,11465,5,0,0.0000000000,-0.0100000000,-0.0066666667,-5.6875000000,29.8125000000,24.2500000000,-2.2300000000,-3.9200000000,-8.2400000000
72587161300,11466,5,0,0.0133333333,-0.0277777778,-0.0066666667,-5.6875000000,29.8125000000,24.2500000000,-2.2500000000,-4.0400000000,-8.2300000000
