"TRAM","Rang","GEOM_WKT"
"T02838U","20 - 30 µg/m³","MULTILINESTRING ((427696.657350271 4580219.83151323,427681.736034505 4580313.04377075))"
"T12098N","20 - 30 µg/m³","MULTILINESTRING ((431632.731681704 4586838.29483992,431555.354579987 4586840.66342939))"
"T02407B","20 - 30 µg/m³","MULTILINESTRING ((429078.75237774 4580733.53179803,428895.187113644 4580735.95219734))"
"T01783S","20 - 30 µg/m³","MULTILINESTRING ((428782.797317256 4581444.01414015,428692.918875324 4581535.73696442))"
"T01530Z","20 - 30 µg/m³","MULTILINESTRING ((431267.264618791 4581637.24457318,431275.679573827 4581629.61449775,431286.743509904 4581618.9493976,431304.360396442 4581600.43123578))"
"T10897C","20 - 30 µg/m³","MULTILINESTRING ((426222.733793889 4583213.44833011,426187.463771428 4583217.70760513,426155.582750258 4583221.44385353,426128.960940586 4583251.95210287,426121.934967518 4583256.93616399,426115.344004173 4583263.11122361))"
"T20369O","20 - 30 µg/m³","MULTILINESTRING ((432646.674775541 4584665.79674367,432693.547192565 4584711.11845769))"
"T19184M","30 - 40 µg/m³","MULTILINESTRING ((431851.775420707 4586627.09084551,431832.766677167 4586664.83204952))"
"T19376S","30 - 40 µg/m³","MULTILINESTRING ((433513.207000356 4584257.23656758,433465.807313398 4584307.9680033))"
"T18622J","20 - 30 µg/m³","MULTILINESTRING ((427075.711401456 4583777.16269742,427016.936915247 4583856.78226621))"
"T00271V","20 - 30 µg/m³","MULTILINESTRING ((431749.289127627 4581606.15087422,431751.845972124 4581585.16382267,431746.043834477 4581568.22684065,431733.341716577 4581555.29191703,431709.482639452 4581549.99308964))"
"T10470F","20 - 30 µg/m³","MULTILINESTRING ((428497.159736556 4583268.24410246,428429.003146311 4583204.46052396))"
"T09103Q","20 - 30 µg/m³","MULTILINESTRING ((432280.197441027 4583512.92176666,432326.487858817 4583558.47448559))"
"T08860Q","20 - 30 µg/m³","MULTILINESTRING ((431932.587991002 4585101.47680529,431868.414392155 4585167.17838999))"
"T10372E","20 - 30 µg/m³","MULTILINESTRING ((428927.224843958 4583326.43891826,428884.888152822 4583375.67431536))"
"T10680N","20 - 30 µg/m³","MULTILINESTRING ((427282.720155853 4583307.76240566,427368.570783224 4583372.80785147))"
"T20427H","20 - 30 µg/m³","MULTILINESTRING ((432398.998588185 4588253.18828403,432271.514353908 4588248.31124169))"
"T19924Y","20 - 30 µg/m³","MULTILINESTRING ((430692.43561056 4585040.24209649,430877.245259049 4585219.288968))"
"T10740I","20 - 30 µg/m³","MULTILINESTRING ((426595.232550131 4583236.83253033,426602.885479507 4583225.97045547,426613.587364576 4583208.65234753,426621.544303948 4583199.04427227))"
"T07261V","20 - 30 µg/m³","MULTILINESTRING ((427506.982223781 4582217.82203165,427547.836713576 4582273.99080691))"
"T18813O","20 - 30 µg/m³","MULTILINESTRING ((426155.997395066 4583042.91457708,426125.992424699 4583052.95582086,426083.141493452 4583070.77717434))"
"T12205Y","20 - 30 µg/m³","MULTILINESTRING ((431071.145512766 4587062.77644865,431039.704707038 4587094.85873778))"
"T20069F","20 - 30 µg/m³","MULTILINESTRING ((428102.852790019 4584276.35863676,428150.052874699 4584277.86927971))"
"T00389I","20 - 30 µg/m³","MULTILINESTRING ((431390.787017588 4581401.3582759,431415.316014466 4581395.95508179,431436.095986728 4581388.07491228))"
"T07531Y","20 - 30 µg/m³","MULTILINESTRING ((425169.672884963 4582387.3250783,425161.907878344 4582388.04413851,425155.11585864 4582386.83918835,425149.440830939 4582384.35222772,425144.173793128 4582380.4492618,425138.328745873 4582375.42029855,425128.288620579 4582360.96735273,425114.6854637 4582343.08242874))"
"T16582K","20 - 30 µg/m³","MULTILINESTRING ((430987.60687599 4581333.19122585,431004.168771127 4581316.01507404))"
"T17601A","20 - 30 µg/m³","MULTILINESTRING ((433747.814038683 4583294.38232554,433780.347392808 4583334.3821404,433796.525566356 4583353.93804782))"
"T13813U","<= 20 µg/m³","MULTILINESTRING ((423930.731110568 4586626.04907707,423911.420926016 4586605.67919192,423908.120823114 4586592.77919664,423898.000765455 4586587.25926499,423850.602705876 4586589.18562905,423848.720703113 4586589.20964342))"
"T15618B","20 - 30 µg/m³","MULTILINESTRING ((432341.341951488 4581199.34876492,432362.113456901 4581130.01350095))"
"T09280G","20 - 30 µg/m³","MULTILINESTRING ((433418.868307311 4583790.75757178,433405.78837225 4583801.94168779))"
"T03795E","20 - 30 µg/m³","MULTILINESTRING ((427756.848489264 4578907.5120215,427706.586152682 4579005.20155526))"
"T05113C","20 - 30 µg/m³","MULTILINESTRING ((429729.365999667 4586476.77369258,429702.582865664 4586464.54187686))"
"T15784O","20 - 30 µg/m³","MULTILINESTRING ((431033.156685864 4583272.29984119,431070.696469209 4583236.17950204))"
"T17159D","20 - 30 µg/m³","MULTILINESTRING ((432843.271823166 4585421.87041973,432811.954025662 4585454.98070956,432801.544934768 4585445.09177249,432772.919105481 4585473.45803438,432783.328196374 4585483.34697145,432750.083397445 4585516.66227618))"
"T06081P","20 - 30 µg/m³","MULTILINESTRING ((432177.276467393 4586698.90449635,432184.184155962 4586656.38037636))"
"T21146F","20 - 30 µg/m³","MULTILINESTRING ((428948.236159106 4584284.14321271,428908.567751448 4584238.62044569))"
"T04168N","20 - 30 µg/m³","MULTILINESTRING ((424955.568888248 4576492.7865204,425388.956037387 4576688.60553761))"
