timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
73202246692,21775,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202252805,21776,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202284057,21777,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202305296,21778,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202335386,21779,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202366713,21780,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202405481,21781,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202425411,21782,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202456696,21783,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202515438,21784,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202524140,21785,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202549147,21786,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202619102,21787,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202626720,21788,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202651674,21789,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202676569,21790,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202709173,21791,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202740332,21792,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202772910,21793,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202799046,21794,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202835532,21795,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202872996,21796,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202900661,21797,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202935614,21798,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202989111,21799,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202997954,21800,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203026690,21801,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203050310,21802,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203084047,21803,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203114032,21804,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203161642,21805,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203181784,21806,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203215508,21807,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203249293,21808,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203272854,21809,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203296577,21810,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203353017,21811,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203365524,21812,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203396599,21813,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203427876,21814,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203459115,21815,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203490512,21816,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203533066,21817,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203551779,21818,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203586573,21819,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203617803,21820,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203646744,21821,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203719212,21822,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203728107,21823,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203748099,21824,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203795541,21825,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203802938,21826,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203850491,21827,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203866561,21828,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203912862,21829,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203926619,21830,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203956569,21831,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73203986553,21832,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204024314,21833,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204085539,21834,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204095394,21835,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204129381,21836,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204151678,21837,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204176523,21838,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204206674,21839,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204240317,21840,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204274271,21841,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204315441,21842,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204331542,21843,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204367867,21844,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204396725,21845,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204481772,21846,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204490459,21847,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204497183,21848,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204523043,21849,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204551575,21850,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204581560,21851,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204612914,21852,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204650482,21853,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204677855,21854,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204706749,21855,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204737842,21856,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204770376,21857,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204820360,21858,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
